Program,Year,Week,Week Ending,Geo Level,State,State ANSI,Watershed,Commodity,Data Item,Value,Weekly.Value
SURVEY,2020,34,8/23/20,STATE,NEBRASKA,31,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PROGRESS, MEASURED IN PCT HARVESTED",0,0
SURVEY,2020,35,8/30/20,STATE,NEBRASKA,31,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PROGRESS, MEASURED IN PCT HARVESTED",2,2
SURVEY,2020,36,9/6/20,STATE,NEBRASKA,31,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PROGRESS, MEASURED IN PCT HARVESTED",25,23
SURVEY,2020,37,9/13/20,STATE,NEBRASKA,31,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PROGRESS, MEASURED IN PCT HARVESTED",26,1
SURVEY,2020,38,9/20/20,STATE,NEBRASKA,31,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PROGRESS, MEASURED IN PCT HARVESTED",62,36
SURVEY,2020,39,9/27/20,STATE,NEBRASKA,31,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PROGRESS, MEASURED IN PCT HARVESTED",75,13
SURVEY,2020,40,10/4/20,STATE,NEBRASKA,31,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PROGRESS, MEASURED IN PCT HARVESTED",82,7
SURVEY,2020,41,10/11/20,STATE,NEBRASKA,31,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PROGRESS, MEASURED IN PCT HARVESTED",87,5
SURVEY,2020,42,10/18/20,STATE,NEBRASKA,31,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PROGRESS, MEASURED IN PCT HARVESTED",96,9
SURVEY,2020,36,9/6/20,STATE,NEBRASKA,31,,CORN,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",1,1
SURVEY,2020,37,9/13/20,STATE,NEBRASKA,31,,CORN,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",4,3
SURVEY,2020,38,9/20/20,STATE,NEBRASKA,31,,CORN,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",10,6
SURVEY,2020,39,9/27/20,STATE,NEBRASKA,31,,CORN,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",14,4
SURVEY,2020,40,10/4/20,STATE,NEBRASKA,31,,CORN,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",21,7
SURVEY,2020,41,10/11/20,STATE,NEBRASKA,31,,CORN,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",34,13
SURVEY,2020,42,10/18/20,STATE,NEBRASKA,31,,CORN,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",58,24
SURVEY,2020,43,10/25/20,STATE,NEBRASKA,31,,CORN,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",76,18
SURVEY,2020,44,11/1/20,STATE,NEBRASKA,31,,CORN,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",86,10
SURVEY,2020,45,11/8/20,STATE,NEBRASKA,31,,CORN,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",93,7
SURVEY,2020,46,11/15/20,STATE,NEBRASKA,31,,CORN,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",96,3
SURVEY,2020,28,7/12/20,STATE,NEBRASKA,31,,OATS,"OATS - PROGRESS, MEASURED IN PCT HARVESTED",30,30
SURVEY,2020,29,7/19/20,STATE,NEBRASKA,31,,OATS,"OATS - PROGRESS, MEASURED IN PCT HARVESTED",57,27
SURVEY,2020,30,7/26/20,STATE,NEBRASKA,31,,OATS,"OATS - PROGRESS, MEASURED IN PCT HARVESTED",82,25
