ID,Site,Origin,Age,mass_mg,iteration,tub,chamber,left,right,night_loud,night_quiet,night_unseen,night_seen,more_silk,first_spot,20:30,21:00,21:30,22:00,22:30,23:00,23:30,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00
AP147,5A,Quiet,11,59.6,2,3,middle,quiet,loud,9,23,300,32,quiet,tunnel,3,4,0,0,1,3,2,6,6,1,0,0,1,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
AP141,5A,Quiet,28,133.5,3,3,middle,loud,quiet,281,6,45,287,quiet,quiet,0,0,0,7,9,6,14,0,8,3,0,0,0,3,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
AP185,5A,Quiet,28,73.3,3,3,front,quiet,loud,14,49,269,63,loud,loud,7,7,5,10,7,7,5,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
AP131,6C,Quiet,11,62.1,2,13,front,loud,quiet,58,56,218,114,loud,loud,5,3,4,1,0,2,4,0,6,2,0,3,2,8,0,0,0,0,0,0,9,1,3,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0
AP101,6C,Quiet,25,85.6,3,13,middle,quiet,loud,20,90,222,110,loud,quiet,5,4,6,1,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP102,6C,Quiet,13,76.1,3,6,middle,loud,quiet,32,127,173,159,loud,loud,5,3,0,1,3,0,0,0,2,0,0,1,2,5,0,2,1,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,
AP197,8A,Loud,11,61.9,2,3,back,loud,quiet,20,34,278,54,loud,quiet,6,2,0,0,0,2,8,3,6,4,2,3,0,1,3,1,6,1,0,0,0,5,9,11,5,4,4,0,0,1,3,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0
AP216,8A,Loud,27,270.7,2,3,front,loud,quiet,154,12,166,166,loud,loud,11,8,10,13,8,13,2,4,2,3,4,1,0,2,0,0,6,2,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
AP219,8A,Loud,27,118.7,2,13,back,loud,quiet,11,26,295,37,loud,loud,1,0,5,7,3,0,0,0,0,0,2,2,2,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP062,8B,Loud,13,121.2,3,13,back,loud,quiet,269,17,46,286,loud,loud,4,7,7,7,4,5,3,6,0,6,1,2,3,0,3,2,9,2,6,3,2,0,0,0,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP067,8B,Loud,13,117.1,3,13,front,loud,quiet,90,66,176,156,loud,quiet,8,5,6,4,9,0,6,1,0,0,9,5,0,9,6,5,2,2,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP030,8B,Loud,20,82.9,3,6,back,quiet,loud,59,141,132,200,quiet,loud,7,3,1,8,5,4,9,3,3,0,8,3,4,9,0,9,1,6,2,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
AP051,8B,Loud,20,77.4,3,6,front,quiet,loud,43,28,261,71,loud,loud,5,7,2,5,1,2,1,1,1,0,7,0,0,0,0,0,1,0,0,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
