Focal,Distibuion,Data,Variable,z,resid.df,Pvalue,R2
Spider,binomial,stay,leq,0.75,65,0.46,0.03754
Spider,binomial,stay,cond,0.11,65,0.91,0.03754
Spider,binomial,stay,leqxcond,-1.57,65,0.12,0.03754
Spider,binomial,stay_side,condition,-1.58,28,0.11,0.06743
Spider,binomial,tunnel,leq,-0.39,269,0.7,0.5908
Spider,binomial,tunnel,age1,-0.39,269,0.694,0.5908
Spider,binomial,tunnel,age2,2.04,269,0.041,0.5908
Spider,binomial,tunnel,leqxage1,1.65,269,0.1,0.5908
Spider,binomial,tunnel,leqxage2,-1.48,269,0.139,0.5908
Spider,binomial,side,leq,0.3,244,0.761,0.6549
Spider,binomial,side,age,-0.36,244,0.718,0.6549
Spider,binomial,side,leqxage,-1.75,244,0.081,0.6549
Silk,binomial,silk_side,leq,1.11,65,0.268,0.07151
Silk,binomial,silk_side,age,-0.72,65,0.469,0.07151
Silk,binomial,silk_side,leqxage,-1.94,65,0.053,0.07151
,,,,,,,
,,,,Chisq,,,
Silk,beta,prop,part,168.44,195,0.001,0.469
Silk,beta,prop,leq,1.05,195,0.3064,0.469
Silk,beta,prop,age,0.04,195,0.843,0.469
Silk,beta,prop,partxleq,6.23,195,0.0444,0.469
Silk,beta,prop,partxage,0.4,195,0.8183,0.469
Silk,beta,prop,partxleqxage,11.63,195,0.0088,0.469
,,,,,,,
,,,,Z,,,
Silk,neg_binom,total,leq,-1.6,66,0.11,0.2245
Silk,neg_binom,total,age,3.94,66,0.001,0.2245
Silk,beta,prop_diff,leq,-1.71,67,0.087,0.0253
