File	Side	Container	Position	Begin	End	Low_Freq	High_Freq	Agg_Ent	Leq
348	B	Loud	7	0	30	20	8000	5.467	-35.2
348	B	Loud	7	0	30	20	1000	2.834	-59.66
349	B	Loud	4	0	30	20	8000	5.648	-35
349	B	Loud	4	0	30	20	1000	2.759	-56.82
350	B	Loud	1	0	30	20	8000	5.102	-38.04
350	B	Loud	1	0	30	20	1000	2.427	-60.05
351	B	Loud	8	0	30	20	8000	5.295	-37.54
351	B	Loud	8	0	30	20	1000	2.697	-57.81
352	B	Loud	5	0	30	20	8000	5.172	-38.22
352	B	Loud	5	0	30	20	1000	2.696	-56.53
353	B	Loud	2	0	30	20	8000	5.608	-44.1
353	B	Loud	2	0	30	20	1000	2.486	-59.9
354	B	Loud	9	0	30	20	8000	5.181	-35.8
354	B	Loud	9	0	30	20	1000	2.432	-60.79
355	B	Loud	6	0	30	20	8000	5.591	-42.02
355	B	Loud	6	0	30	20	1000	2.615	-57.41
356	B	Loud	3	0	30	20	8000	5.475	-44.67
356	B	Loud	3	0	30	20	1000	2.922	-61.11
357	A	Loud	1	0	30	20	8000	5.077	-37.19
357	A	Loud	1	0	30	20	1000	2.256	-58.28
358	A	Loud	2	0	30	20	8000	5.14	-31.54
358	A	Loud	2	0	30	20	1000	2.439	-55.17
359	A	Loud	3	0	30	20	8000	5.225	-34.93
359	A	Loud	3	0	30	20	1000	2.33	-56.2
360	A	Loud	4	0	30	20	8000	5.191	-35.33
360	A	Loud	4	0	30	20	1000	2.091	-57.69
361	A	Loud	5	0	30	20	8000	5.47	-39.33
361	A	Loud	5	0	30	20	1000	2.745	-56.64
362	A	Loud	6	0	30	20	8000	5.148	-34.38
362	A	Loud	6	0	30	20	1000	2.453	-57.31
363	A	Loud	7	0	30	20	8000	4.862	-29.72
363	A	Loud	7	0	30	20	1000	2.439	-58.06
364	A	Loud	8	0	30	20	8000	5.036	-35.23
364	A	Loud	8	0	30	20	1000	1.967	-59.34
365	A	Loud	9	0	30	20	8000	5.288	-36.99
365	A	Loud	9	0	30	20	1000	2.403	-58.23
366	C	Loud	1	0	30	20	8000	5.364	-36.58
366	C	Loud	1	0	30	20	1000	2.558	-57.72
367	C	Loud	2	0	30	20	8000	4.67	-35.1
367	C	Loud	2	0	30	20	1000	2.284	-58.56
368	C	Loud	3	0	30	20	8000	5.226	-39.41
368	C	Loud	3	0	30	20	1000	2.039	-59.06
369	C	Loud	4	0	30	20	8000	5.097	-36.84
369	C	Loud	4	0	30	20	1000	2.598	-56.16
370	C	Loud	5	0	30	20	8000	5.062	-33.67
370	C	Loud	5	0	30	20	1000	2.41	-58.28
371	C	Loud	6	0	30	20	8000	4.984	-31.75
371	C	Loud	6	0	30	20	1000	2.727	-56.89
372	C	Loud	7	0	30	20	8000	5.145	-37.04
372	C	Loud	7	0	30	20	1000	1.685	-60.21
373	C	Loud	8	0	30	20	8000	5.124	-39.62
373	C	Loud	8	0	30	20	1000	2.557	-57.04
374	C	Loud	9	0	30	20	8000	5.042	-34.41
374	C	Loud	9	0	30	20	1000	2.594	-53.36
375	D	Loud	1	0	30	20	8000	5.264	-32.36
375	D	Loud	1	0	30	20	1000	2.477	-55.87
376	D	Loud	2	0	30	20	8000	4.753	-35.68
376	D	Loud	2	0	30	20	1000	2.085	-63.43
377	D	Loud	3	0	30	20	8000	4.905	-35.19
377	D	Loud	3	0	30	20	1000	2.55	-62.24
378	D	Loud	5	0	30	20	8000	5.024	-35.28
378	D	Loud	5	0	30	20	1000	2.649	-58.19
379	D	Loud	6	0	30	20	8000	4.928	-35.17
379	D	Loud	6	0	30	20	1000	2.506	-63.9
380	D	Loud	7	0	30	20	8000	4.846	-30.05
380	D	Loud	7	0	30	20	1000	2.382	-60.17
381	D	Loud	8	0	30	20	8000	4.944	-33.46
381	D	Loud	8	0	30	20	1000	2.49	-64.06
382	D	Loud	9	0	30	20	8000	4.486	-31.96
382	D	Loud	9	0	30	20	1000	2.31	-61.89
383	Bottom	Loud	1	0	30	20	8000	4.968	-26.4
383	Bottom	Loud	1	0	30	20	1000	1.727	-52.35
384	Bottom	Loud	2	0	30	20	8000	5.752	-36.11
384	Bottom	Loud	2	0	30	20	1000	3.017	-51.23
385	Bottom	Loud	3	0	30	20	8000	5.368	-28
385	Bottom	Loud	3	0	30	20	1000	1.931	-52.7
386	Bottom	Loud	4	0	30	20	8000	5.146	-28.43
386	Bottom	Loud	4	0	30	20	1000	2.368	-56.88
387	Bottom	Loud	5	0	30	20	8000	5.474	-19.84
387	Bottom	Loud	5	0	30	20	1000	3.024	-42.11
