	age	ceph_width_mm	abdomen_width_mm	mass_mg	Site
AP197	12	2.6	3	45.8	8A
AP147	12	2.56	3.18	61	5A
AP216	28	4.7	4.27	256	8A
AP018	8	3.48	3.28	101.1	8B
AP084	28	2.8	3.25	74.6	6C
AP035	8	2.82	2.91	64.8	8B
AP138	1	3.68	3.14	110.3	5A
AP069	15	2.99	3.56	72.8	8B
AP104	23	3.02	3.78	97.1	6C
AP219	28	3.52	4.1	110.5	8A
AP131	12	2.78	3.31	62.1	6C
AP011	28	3.39	3.67	120.7	8B
AP144	15	3.18	4.1	103.4	5A
AP061	20	3.32	3.07	72	8B
AP029	23	2.76	3.3	73.6	8B
AP128	23	3.3	3.06	87.6	6C
AP124	15	3.43	3.42	112.6	6C
AP141	29	3.44	3.85	134.7	5A
AP185	29	2.75	3.66	78.3	5A
AP030	21	2.92	3.59	88.6	8B
AP102	14	2.82	3.45	79.5	6C
AP051	21	2.84	3.39	80.8	8B
AP016	7	3.56	3.2	106.2	8B
AP013	29	4.37	3.89	201.6	8B
AP217	14	3.17	3.3	103.3	8A
AP062	14	3.62	2.8	116	8B
AP101	26	2.99	3.72	80.2	6C
AP067	14	3.76	2.96	113	8B
AP113	14	3.12	2.91	81.1	6C
AP230	29	2.92	3.99	94.4	8A
AP027	14	2.99	2.8	74.9	8B
AP189	26	2.46	3.55	67.7	8A
AP086	26	2.86	3.53	56.4	6C
AP130	26	2.76	3.2	70.1	6C
AP028	25	2.86	3.39	83	8B
AP010	33	2.83	4.04	101.4	8B
AP112	33	2.87	3.73	83.6	6C
AP032	14	3.67	3.39	113.7	8B
AP149	21	3.14	3.7	82.3	5A
AP052	41	4.31	3.78	192.6	8B
AP170	33	2.95	3.46	102.2	5A
AP133	33	3.01	3.16	75.9	6C
AP039	14	4	3.68	123.8	8B
AP107	25	2.5	2.94	54.7	6C
AP088	33	2.89	3.1	81.1	6C
AP002	28	2.36	3.11	59.3	8B
AP036	25	3.15	3.32	98.5	8B
AP127	25	2.8	3.53	76.2	6C
AP176	21	3.45	3.32	97.2	5A
AP177	25	3.02	3.03	78.5	5A
AP159	36	2.5	3.55	70.3	5A
AP034	32	3.56	3.47	103.9	8B
AP221	25	3.28	3.05	111.8	8A
AP044	28	3.53	3.4	116	8B
AP055	48	4.73	4.07	161.8	8B
AP155	35	2.57	3.15	55.9	5A
AP184	43	2.92	4.14	86.9	5A
AP180	32	3.18	3.45	113	5A
AP192	43	3.59	4.67	152.2	8A
AP150	25	4.56	4.05	173.8	5A
AP135	43	3.12	4.09	108.8	6C
AP033	25	3.63	2.92	99.4	8B
AP179	28	3.5	3.51	89.8	5A
AP157	43	3.65	3.86	107.7	5A
AP148	28	3.15	3.16	82.7	5A
AP200	35	2.7	3.3	73.7	8A
AP213	43	3.96	3.96	163	8A
AP214	28	3	3.41	88	8A
AP175	43	3.84	3.4	146.9	5A
