	impervious	nearest_dist_m	road_dist_m	traffic	road_length_km	traffic_impact	Category
1A	44.51	21.42	239.67	13290	33.8	55.45078274	Urban
1B	41.3	17.33	115.79	7420	41.41	64.08097348	Urban
1C	50.52	12.46	113.47	18400	45.91	162.1616858	Urban
2A	44.51	22.7	22.7	8780	42.06	386.8416817	Urban
2B	39.13	13.51	201.98	17010	40.49	84.21584208	Urban
2C	36.72	15.15	130.94	5110	38.79	39.02610396	Urban
3A	68.23	13.96	136.07	1510	47.17	11.09739248	Urban
3B	38.65	31.21	353.41	8470	30.18	23.96683692	Urban
3C	49.25	8.61	267.61	10310	35.01	38.52578163	Urban
4A	51.1	22.57	298.97	38630	31.74	129.2089921	Urban
4B	64.7	19.32	19.32	20110	42.73	1040.835062	Urban
4C	43.32	10.95	213.26	19820	36.25	92.93776171	Urban
5A	4.92	140.47	3795.18	11100	11.44	2.924766315	Rural
5B	46.58	11.12	320.28	22960	35.63	71.68839279	Urban
5C	46.98	15.36	345.93	36060	29.89	104.242249	Urban
6A	1.01	89.19	901.63	2885	3.69	3.199771081	Rural
6B	0.17	167.48	1761.06	4040	3.01	2.294071585	Rural
6C	0.54	163.42	1417.69	4040	3.86	2.849712243	Rural
7A	0.58	161.32	2674.47	660	3.54	0.246777959	Rural
7B	0.9	209.97	330.97	3625	3.17	10.95268741	Rural
7C	42.73	12.01	321.17	27520	32.74	85.68750837	Urban
8B	81.5	4.39	310.77	26840	38.46	86.36612286	Urban
8A	42.22	16.2	117.51	17010	40.13	144.7561017	Urban
W	15.36	82.574	82.574	8900	6.55	107.7821106	Forest
