Sites,Latitude,Longitude
1A,40.77775,-96.70045
1B,40.78342,-96.69419
1C,40.7907,-96.69402
2A,40.80208,-96.663
2B,40.78998,-96.67688
2C,40.78346,-96.67437
3A,40.80461,-96.69991
3B,40.83935,-96.61127
3C,40.82561,-96.64844
4A,40.84647,-96.72761
4B,40.82094,-96.6852
4C,40.82267,-96.66866
5A,40.75244,-96.76724
5B,40.74371,-96.6543
5C,40.7739,-96.6978
6A,40.74933,-96.818
6B,40.66964,-96.79471
6C,40.66684,-96.77744
7A,40.61992,-96.5419
7B,40.74255,-96.52466
7C,40.76312,-96.62908
8A,40.819145,-96.704063
8B,40.792736,-96.677211
